Location,Humidity3pm,Pressure3pm,RainTomorrow
Albury,30,1020.7,No
Albury,26,1020.6,No
Albury,18,1019.1,No
Albury,16,1019.5,No
Albury,25,1019.5,No
Albury,22,1019.4,No
Albury,30,1018.4,Yes
Albury,49,1012.9,Yes
Albury,33,1019.3,No
Albury,37,1016.5,No
Albury,20,1019.6,No
Albury,27,1023.5,No
Albury,30,1023.4,No
Albury,27,1019.6,No
Albury,42,1017.7,Yes
Albury,47,1020.3,Yes
Albury,52,1020.8,No
Albury,35,1018.7,No
Albury,39,1011.6,No
Albury,27,1009.8,No
Albury,30,1012.8,No
Albury,39,1016.8,No
Albury,37,1019.3,No
Albury,33,1019.6,No
Albury,29,1020,No
Albury,39,1020.9,No
Albury,33,1021.6,No
Albury,34,1015.7,No
Albury,86,1002.4,Yes
Albury,89,1000.9,Yes
Albury,62,1003.3,Yes
Albury,79,1013.5,Yes
Albury,48,1018.3,No
Albury,46,1020.9,No
Albury,38,1021.5,No
Albury,44,1023.2,No
Albury,49,1024,No
Albury,51,1025.9,No
Albury,44,1027.3,No
Albury,47,1028.1,No
Albury,49,1024.6,No
Albury,49,1023.6,No
Albury,36,1025.8,No
Albury,45,1021.8,No
Albury,40,1022.3,No
Albury,53,1022.2,No
Albury,49,1018.5,No
Albury,61,1015.7,No
Albury,59,1013.1,No
Albury,63,1011,Yes
Albury,54,1013.4,No
Albury,61,1019.3,No
Albury,34,1021.2,No
Albury,51,1019.9,No
Albury,57,1020.5,No
Albury,48,1022.3,No
Albury,43,1021.4,No
Albury,37,1019.4,No
Albury,43,1022.1,No
Albury,50,1019.7,Yes
Albury,74,1019.2,No
Albury,58,1019.3,No
Albury,48,1021.6,No
Albury,44,1024,No
Albury,44,1028.5,No
Albury,46,1029.9,Yes
Albury,75,1029.2,Yes
Albury,75,1026.2,Yes
Albury,97,1020.4,Yes
Albury,58,1017.5,No
Albury,57,1015.1,No
Albury,91,1011.1,Yes
Albury,80,1006.3,Yes
Albury,79,1008.7,Yes
Albury,95,1008.3,Yes
Albury,56,1018.4,No
Albury,72,1023,No
Albury,72,1022.2,No
Albury,60,1013,No
Albury,49,1009.3,No
Albury,63,1012.8,No
Albury,49,1022.2,No
Albury,52,1027.7,No
Albury,63,1028.6,No
Albury,56,1027.1,No
Albury,56,1020.6,Yes
Albury,71,1018.6,Yes
Albury,78,1018.6,No
Albury,70,1016.4,Yes
Albury,65,1012.7,No
Albury,75,1012.7,Yes
Albury,73,1008.1,No
Albury,81,1005.5,Yes
Albury,76,1006.6,Yes
Albury,69,1009.4,Yes
Albury,73,1001,Yes
Albury,68,1005.2,Yes
Albury,74,1006.8,Yes
Albury,62,1009.6,No
Albury,76,1014.9,No
Albury,56,1019,No
Albury,65,1020.4,No
Albury,46,1024.6,No
Albury,54,1028.1,No
Albury,54,1028.6,No
Albury,62,1023.8,No
Albury,63,1015.6,No
Albury,53,1007.7,No
Albury,73,1005.5,Yes
Albury,75,1005.8,Yes
Albury,57,1009.9,No
Albury,57,1014.5,No
Albury,52,1020.6,No
Albury,64,1019.5,No
Albury,65,1019.8,No
Albury,53,1018.4,No
Albury,46,1013.4,No
Albury,81,1006.2,Yes
Albury,58,1018.4,No
Albury,58,1025.4,No
Albury,61,1022.7,No
Albury,74,1013.7,No
Albury,91,1019.9,Yes
Albury,71,1023.1,Yes
Albury,81,1025.4,No
Albury,76,1022.7,Yes
Albury,61,1021.5,No
Albury,70,1025.3,No
Albury,65,1024.8,No
Albury,49,1022.9,No
Albury,53,1018.9,Yes
Albury,76,1020.2,No
Albury,58,1016.7,No
Albury,47,1015.6,Yes
Albury,50,1023,No
Albury,48,1018.5,No
Albury,60,1014.7,No
Albury,59,1008.6,Yes
Albury,74,1010,No
Albury,87,1015.3,Yes
Albury,61,1019.1,No
Albury,57,1016.8,Yes
Albury,70,1006.4,Yes
Albury,57,1019.7,No
Albury,58,1027.2,No
Albury,61,1022.5,No
Albury,51,1014.3,No
Albury,85,1001.7,Yes
Albury,57,1009.6,Yes
Albury,67,1007.1,Yes
Albury,52,1001,Yes
Albury,53,1008.2,Yes
Albury,56,1014.4,No
Albury,49,1014.6,No
Albury,51,1013.3,Yes
Albury,80,996.9,Yes
Albury,57,1015.2,Yes
Albury,72,1016.8,Yes
Albury,58,1021.7,No
Albury,45,1020.2,No
Albury,54,1010.8,Yes
Albury,58,1012.3,No
Albury,54,1017.9,No
Albury,47,1011.4,No
Albury,53,1002.7,No
Albury,59,1009,No
Albury,67,1011.3,No
Albury,46,1018.2,No
Albury,39,1015.4,No
Albury,25,1012.2,No
Albury,29,1019.9,No
Albury,44,1019.1,No
Albury,39,1016.8,No
Albury,73,1011.9,Yes
Albury,54,1018.6,No
Albury,46,1015,No
Albury,50,1013.7,No
Albury,50,1008.2,Yes
Albury,55,999.2,Yes
Albury,54,1003.8,Yes
Albury,55,1011.8,No
Albury,57,1002.9,Yes
Albury,72,1003.9,Yes
Albury,72,1008.4,No
Albury,56,1009.9,No
Albury,49,1013.4,No
Albury,36,1013.4,No
Albury,61,1008.8,No
Albury,55,1004.9,Yes
Albury,75,1015.1,Yes
Albury,75,1019.4,No
Albury,47,1018.6,No
Albury,77,1018.3,Yes
Albury,42,1018.5,No
Albury,43,1023.2,No
Albury,39,1025.7,No
Albury,36,1025.7,No
Albury,50,1016.9,No
Albury,64,999.4,Yes
Albury,71,997.6,Yes
Albury,60,1002.7,Yes
Albury,84,1007.8,Yes
Albury,56,1016.2,No
Albury,46,1021.6,No
Albury,50,1024.7,No
Albury,38,1023.7,No
Albury,31,1018.4,No
Albury,44,1017.4,No
Albury,38,1018.4,No
Albury,26,1017.6,No
Albury,28,1016.2,No
Albury,34,1013,No
Albury,38,1022,No
Albury,43,1023.1,No
Albury,41,1020.9,No
Albury,50,1020.6,No
Albury,46,1019.5,No
Albury,38,1019,No
Albury,35,1017.3,No
Albury,47,1014.6,No
Albury,39,1011.9,No
Albury,27,1015.8,No
Albury,28,1017.3,No
Albury,32,1021.8,No
Albury,27,1025.3,No
Albury,29,1024.8,No
Albury,29,1020.6,No
Albury,23,1017.2,No
Albury,18,1017.8,No
Albury,18,1014.8,No
Albury,22,1013.9,No
Albury,25,1011.2,No
Albury,16,1006.5,No
Albury,20,1002.6,No
Albury,18,1005.9,No
Albury,18,1007.1,No
Albury,11,1004.6,No
Albury,21,1002.3,Yes
Albury,91,1009,Yes
Albury,67,1003.5,No
Albury,37,1020.6,No
Albury,40,1021.6,No
Albury,36,1016,No
Albury,70,1008.4,Yes
Albury,56,1008.6,No
Albury,27,1002.7,Yes
Albury,54,1000.9,Yes
Albury,35,1009.3,No
Albury,31,1016.9,No
Albury,29,1018.9,No
Albury,16,1014.3,No
Albury,7,1014.4,No
Albury,22,1012.9,No
Albury,23,1012.4,No
Albury,19,1009,No
Albury,45,1006,Yes
Albury,24,1009.2,No
Albury,26,1004.7,No
Albury,30,1016.3,No
Albury,31,1016.1,No
Albury,27,1015,No
Albury,25,1015.8,No
Albury,22,1015.4,No
Albury,8,1012.3,No
Albury,28,1005.7,Yes
Albury,19,1014.1,No
Albury,23,1014.2,No
Albury,21,1013.7,No
Albury,10,1009.6,No
Albury,10,1007.3,No
Albury,12,1008.8,No
Albury,29,1006.3,Yes
Albury,49,1008,No
Albury,34,1011.9,No
Albury,74,1013.9,No
Albury,23,1012.6,No
Albury,24,1017,No
Albury,15,1016.7,No
Albury,35,1012,Yes
Albury,40,1008.5,Yes
Albury,48,1006.2,No
Albury,32,1012.5,No
Albury,24,1013.6,No
Albury,13,1011.5,No
Albury,7,1011.5,No
Albury,17,1012.7,No
Albury,19,1014.6,No
Albury,19,1013.1,No
Albury,8,1011.2,No
Albury,15,1009.1,No
Albury,12,1003.6,No
Albury,79,1012,Yes
Albury,28,1013.2,No
Albury,20,1011.4,No
Albury,11,1004.1,No
Albury,24,1005.5,No
Albury,30,1007,No
Albury,27,1009.7,No
Albury,15,1008.8,No
Albury,18,1008.1,No
Albury,9,1003.7,No
Albury,9,1006.5,No
Albury,22,1009.7,No
Albury,8,1008.1,No
Albury,10,1008.5,No
Albury,14,1007.9,No
Albury,8,1005.2,No
Albury,14,1007.7,No
Albury,22,1012,No
Albury,16,1009.7,No
Albury,19,1009.9,Yes
Albury,24,1011.7,No
Albury,23,1008.5,No
Albury,44,1006.2,Yes
Albury,70,1009.4,Yes
Albury,38,1015.7,No
Albury,32,1017.5,No
Albury,32,1017.8,No
Albury,28,1014.7,No
Albury,67,1007.8,No
Albury,59,1007.9,No
Albury,43,1003.9,No
Albury,44,1008.8,No
Albury,34,1013.3,No
Albury,24,1019.1,No
Albury,34,1019.6,No
Albury,35,1014.3,No
Albury,59,1011.2,Yes
Albury,70,1011.9,No
Albury,34,1016.7,No
Albury,35,1018.4,No
Albury,33,1021.3,No
Albury,62,1018.3,Yes
Albury,45,1013.6,No
Albury,23,1015.4,No
Albury,26,1014.2,No
Albury,35,1009.8,No
Albury,93,1006.6,Yes
Albury,48,1009,Yes
Albury,82,1008.8,Yes
Albury,38,1007.5,Yes
Albury,67,1015.9,No
Albury,40,1030.2,No
Albury,40,1033.6,No
Albury,44,1031.4,No
Albury,37,1026,No
Albury,38,1022.3,No
Albury,28,1021,No
Albury,35,1023.3,No
Albury,36,1022.2,No
Albury,31,1017.3,No
Albury,36,1017.9,No
Albury,46,1017.7,No
Albury,36,1018.8,No
Albury,23,1018.6,No
Albury,31,1019.5,No
Albury,32,1018,No
Albury,32,1016.4,No
Albury,32,1017,No
Albury,41,1011.8,Yes
Albury,61,1014.9,No
Albury,44,1017.6,No
Albury,42,1018.1,No
Albury,44,1017.4,No
Albury,42,1017.4,No
Albury,41,1018.4,No
Albury,37,1018.2,No
Albury,38,1016.3,No
Albury,40,1013.3,Yes
Albury,69,1010.5,Yes
Albury,53,1015.3,No
Albury,55,1011.3,No
Albury,79,1009,Yes
Albury,43,1010.2,No
Albury,54,1017.3,No
Albury,49,1021.1,No
Albury,49,1020.1,No
Albury,40,1020.7,No
Albury,45,1023,No
Albury,38,1024.4,No
Albury,47,1023.2,No
Albury,46,1021.9,No
Albury,49,1020.1,No
Albury,44,1019.5,No
Albury,40,1019.4,No
Albury,34,1014,Yes
Albury,86,1008.7,Yes
Albury,40,1017.6,No
Albury,49,1023,No
Albury,58,1018,Yes
Albury,50,1019.6,No
Albury,69,1020.4,No
Albury,53,1024.4,No
Albury,46,1024.1,No
Albury,47,1024.3,No
Albury,39,1021.9,No
Albury,29,1011.2,Yes
Albury,51,1015.5,No
Albury,68,1021.6,No
Albury,56,1021.7,No
Albury,59,1021.1,No
Albury,54,1019.6,No
Albury,47,1015.2,No
Albury,47,1014.8,No
Albury,48,1021.5,No
Albury,55,1019.9,No
Albury,46,1017.1,No
Albury,44,1017.3,No
Albury,51,1018.9,No
Albury,50,1017.9,No
Albury,38,1018.7,No
Albury,39,1021.3,No
Albury,44,1020.4,No
Albury,42,1019.3,No
Albury,45,1020.5,No
Albury,35,1019.2,No
Albury,73,1013.3,Yes
Albury,99,1005,Yes
Albury,50,1010.1,No
Albury,59,1018,No
Albury,63,1014.3,Yes
Albury,89,1002.8,Yes
Albury,47,1004.8,No
Albury,48,1014.8,No
Albury,58,1018.5,No
Albury,60,1020.6,No
Albury,50,1023.5,No
Albury,53,1019.4,No
Albury,84,1015.8,No
Albury,61,1020.4,No
Albury,50,1024.3,No
Albury,49,1019.5,No
Albury,92,1011.1,Yes
Albury,57,1021.1,No
Albury,66,1019.7,No
Albury,51,1024.3,No
Albury,47,1030.7,No
Albury,50,1032,No
Albury,65,1028.3,No
Albury,73,1022.1,Yes
Albury,65,1010.4,Yes
Albury,70,1018,Yes
Albury,66,1019.6,No
Albury,86,1026.7,No
Albury,83,1033.8,No
Albury,61,1035.2,No
Albury,52,1032.9,No
Albury,56,1024.7,No
Albury,95,1018.6,Yes
Albury,71,1020.5,No
Albury,54,1021.8,No
Albury,70,1020.3,No
Albury,57,1019.4,No
Albury,78,1019.6,Yes
Albury,67,1024.3,No
Albury,70,1024,No
Albury,76,1029.8,No
Albury,77,1029,No
Albury,70,1022.8,Yes
Albury,56,1019.2,No
Albury,64,1025.1,No
Albury,50,1026.6,No
Albury,57,1027.1,No
Albury,61,1019.5,Yes
Albury,62,1019.6,No
Albury,62,1021,No
Albury,93,1008.9,Yes
Albury,91,1008.7,Yes
Albury,63,1022,No
Albury,56,1026.3,No
Albury,69,1025.9,No
Albury,59,1018.7,Yes
Albury,61,1017.8,No
Albury,62,1024,No
Albury,58,1027.1,No
Albury,51,1030.7,No
Albury,61,1032,No
Albury,60,1028.9,No
Albury,58,1029.1,No
Albury,52,1034.1,No
Albury,52,1031.5,No
Albury,67,1022.3,Yes
Albury,80,1014.9,No
Albury,86,1013.5,Yes
Albury,85,1015.6,Yes
Albury,93,1014.6,Yes
Albury,56,1018.7,No
Albury,51,1020.1,No
Albury,65,1018.3,No
Albury,59,1022.8,No
Albury,54,1023.3,No
Albury,58,1018.8,No
Albury,47,1019,Yes
Albury,77,1008.7,Yes
Albury,85,1000.1,Yes
Albury,45,1008,No
Albury,56,1013.5,No
Albury,67,1006.9,Yes
Albury,94,1004.4,Yes
Albury,65,1013.8,Yes
Albury,55,1020.4,No
Albury,86,1006.3,Yes
Albury,56,1007.8,Yes
Albury,58,1014.8,No
Albury,68,1017.8,No
Albury,49,1020.5,No
Albury,61,1012.6,Yes
Albury,55,1010.3,Yes
Albury,65,1005.5,Yes
Albury,70,1001,Yes
Albury,55,1012.2,No
Albury,58,1024,No
Albury,57,1027.2,No
Albury,51,1025.2,No
Albury,61,1020.4,No
Albury,71,1014.9,No
Albury,68,1016,No
Albury,55,1017.5,Yes
Albury,87,999,Yes
Albury,67,1013.8,Yes
Albury,64,1018.7,Yes
Albury,49,1024.3,No
Albury,51,1022.6,No
Albury,90,1009.7,Yes
Albury,86,1006,Yes
Albury,54,1019.2,No
Albury,51,1017.5,No
Albury,47,1014.8,No
Albury,50,1010.3,No
Albury,58,1015.6,No
Albury,49,1017,No
Albury,54,1021.9,No
Albury,60,1018.8,No
Albury,55,1020.8,No
Albury,54,1023.3,No
Albury,64,1022.6,No
Albury,48,1021.7,No
Albury,52,1021.9,No
Albury,61,1020.7,No
Albury,52,1015.1,No
Albury,43,1017.3,No
Albury,50,1011.2,No
Albury,49,1015.1,No
Albury,43,1020.5,No
Albury,45,1023.7,No
Albury,42,1024.6,No
Albury,47,1025.1,No
Albury,45,1025,No
Albury,52,1020.4,No
Albury,52,1019.5,No
Albury,52,1014.4,Yes
Albury,42,1020.7,No
Albury,49,1023,No
Albury,49,1023.6,No
Albury,42,1028.1,No
Albury,45,1027.2,No
Albury,66,1023.9,Yes
Albury,94,1013.7,Yes
Albury,69,1010.3,Yes
Albury,90,982.9,Yes
Albury,61,1008.3,No
Albury,56,1016.3,No
Albury,50,1019.4,No
Albury,49,1024.8,No
Albury,51,1025,No
Albury,47,1020.8,No
Albury,49,1016.9,No
Albury,77,1016.8,Yes
Albury,51,1018.7,No
Albury,47,1018.5,No
Albury,35,1015.6,Yes
Albury,46,1015.4,No
Albury,48,1016.4,No
Albury,44,1012.6,Yes
Albury,96,1008.4,Yes
Albury,67,1012,Yes
Albury,52,1013.8,No
Albury,51,1014.7,No
Albury,49,1018.2,No
Albury,48,1019,No
Albury,37,1019.6,No
Albury,42,1018.6,No
Albury,46,1013.8,Yes
Albury,64,1014.7,No
Albury,47,1021.4,No
Albury,45,1015,No
Albury,47,1010,No
Albury,41,1008.7,No
Albury,78,1011,Yes
Albury,73,1013.2,Yes
Albury,32,1011.7,No
Albury,42,1013.8,No
Albury,34,1014.5,No
Albury,36,1013.5,No
Albury,39,1019.8,No
Albury,39,1022.1,No
Albury,29,1019.1,No
Albury,36,1019.5,No
Albury,34,1020.5,No
Albury,31,1018.8,No
Albury,57,1017,Yes
Albury,68,1015.5,Yes
Albury,66,1008.5,Yes
Albury,89,1007.9,Yes
Albury,51,1012.7,Yes
Albury,81,1014.3,Yes
Albury,73,1013.3,No
Albury,90,1013.3,Yes
Albury,75,1011.3,Yes
Albury,48,1009.3,No
Albury,31,1008.2,No
Albury,38,1008.9,No
Albury,44,1008.8,Yes
Albury,55,1005,Yes
Albury,50,1007.2,No
Albury,38,1008.7,No
Albury,35,1004.5,No
Albury,33,1006.3,No
Albury,32,1012.5,No
Albury,36,1010.4,No
Albury,28,1003.6,No
Albury,21,1003.8,No
Albury,31,1002.1,No
Albury,52,1002.8,Yes
Albury,55,994.3,Yes
Albury,50,1004.3,Yes
Albury,48,1011.5,No
Albury,37,1015.7,No
Albury,24,1017.4,No
Albury,33,1018.2,No
Albury,72,1009.9,No
Albury,35,1000.5,No
Albury,38,1007.1,No
Albury,35,1014.2,No
Albury,28,1012.8,No
Albury,25,1013.3,No
Albury,22,1010.7,No
Albury,29,1009.2,No
Albury,27,1009.5,No
Albury,28,1009.3,No
Albury,38,1007.8,No
Albury,31,1004.3,No
Albury,34,1007.7,No
Albury,42,1010.1,No
Albury,40,1009.1,No
Albury,41,1010.6,Yes
Albury,40,1010,Yes
Albury,87,1009.4,Yes
Albury,84,1006.2,Yes
Albury,59,1006.5,Yes
Albury,90,1006,Yes
Albury,34,1007.4,No
Albury,46,1005.1,No
Albury,36,1003.3,No
Albury,43,1005.9,No
Albury,36,1007.8,No
Albury,38,1009.4,No
Albury,40,1009.9,No
Albury,37,1010.3,No
Albury,41,1006.1,No
Albury,29,1001.5,No
Albury,30,1006.6,No
Albury,40,1009.6,No
Albury,30,1013.7,No
Albury,20,1015.9,No
Albury,32,1017.2,No
Albury,31,1015.6,No
Albury,25,1011.4,No
Albury,16,1005.2,No
Albury,49,1011.1,Yes
Albury,50,1011.6,Yes
Albury,99,1011.1,Yes
Albury,95,1007.3,Yes
Albury,45,1019.6,No
Albury,40,1019.5,No
Albury,50,1016.6,No
Albury,43,1019.8,No
Albury,55,1016.1,Yes
Albury,94,1011.5,Yes
Albury,57,1012.9,No
Albury,50,1016.5,No
Albury,45,1019.9,No
Albury,40,1018.6,No
Albury,85,1016.1,Yes
Albury,55,1010.8,No
Albury,51,1010.3,Yes
Albury,67,1004.5,Yes
Albury,50,1009.7,No
Albury,40,1015.2,No
Albury,43,1020.5,No
Albury,43,1020,No
Albury,43,1015.5,No
Albury,36,1011.5,No
Albury,36,1008.6,No
Albury,87,1009,Yes
Albury,55,1003.7,No
Albury,40,1009.1,No
Albury,41,1012.8,No
Albury,45,1011.6,No
Albury,42,1013.6,No
Albury,30,1019.4,No
Albury,38,1022.8,No
Albury,42,1019.2,No
Albury,34,1013.2,No
Albury,57,1013,Yes
Albury,95,1011.9,Yes
Albury,54,1013.7,No
Albury,56,1017.1,No
Albury,61,1017.2,Yes
Albury,61,1019.2,No
Albury,56,1017,No
Albury,37,1015.5,No
Albury,51,1016,No
Albury,47,1012.4,No
Albury,43,1010.6,No
Albury,46,1008.4,No
Albury,59,1002.5,No
Albury,58,1000.3,No
Albury,63,1005.3,Yes
Albury,64,1003.8,No
Albury,49,1012.6,No
Albury,43,1019.7,No
Albury,47,1023.6,No
Albury,45,1023.8,No
Albury,52,1020.2,No
Albury,55,1015.6,No
Albury,47,1021.5,No
Albury,66,1016.3,No
Albury,57,1014.3,No
Albury,46,1014.5,No
Albury,47,1018,No
Albury,42,1022.3,No
Albury,53,1021.5,No
Albury,57,1016,No
Albury,39,1013.5,No
Albury,43,1016.8,No
Albury,43,1015.3,Yes
Albury,55,1009,No
Albury,89,1013.8,Yes
Albury,74,1012.3,Yes
Albury,46,1021.8,No
Albury,57,1029.9,No
Albury,74,1030.5,No
Albury,54,1028.1,No
Albury,48,1029.2,No
Albury,55,1028.8,No
Albury,48,1024.9,No
Albury,50,1020.7,No
Albury,53,1009.3,Yes
Albury,85,1000.5,Yes
Albury,65,1008.2,No
Albury,47,1016.1,No
Albury,52,1018.6,No
Albury,65,1020.6,No
Albury,72,1023.5,No
Albury,63,1023.4,No
Albury,51,1023.2,No
Albury,48,1022,No
Albury,53,1025.1,No
Albury,58,1023.4,No
Albury,57,1016.4,Yes
Albury,72,1015.6,No
Albury,75,1014.7,Yes
Albury,50,1018,No
Albury,79,1014.3,Yes
Albury,63,1017.3,No
Albury,51,1016.2,No
Albury,46,1021.7,No
Albury,50,1026.6,No
Albury,49,1026,No
Albury,41,1024.5,No
Albury,45,1023.7,No
Albury,48,1024.7,No
Albury,52,1018.4,No
Albury,68,1010.1,No
Albury,85,1014.5,No
Albury,92,1015.2,Yes
Albury,67,1010.8,Yes
Albury,58,1003.9,No
Albury,69,1013.6,Yes
Albury,70,1020.9,No
Albury,87,1027.8,No
Albury,65,1028.1,No
Albury,55,1025.1,No
Albury,47,1028.7,No
Albury,52,1032.6,No
Albury,50,1035.1,No
Albury,53,1034.2,No
Albury,59,1028.7,No
Albury,63,1020.9,No
Albury,80,1014.3,Yes
Albury,54,1009.1,Yes
Albury,73,1008.8,Yes
Albury,87,1007.7,Yes
Albury,54,1018.3,No
Albury,64,1024.7,Yes
Albury,87,1021.1,No
Albury,68,1012.6,Yes
Albury,64,1022.7,No
Albury,64,1023.4,No
Albury,88,1020.1,Yes
Albury,65,1029.7,No
Albury,46,1033.3,No
Albury,56,1026.3,No
Albury,95,1021.2,Yes
Albury,85,1018.3,Yes
Albury,66,1017.8,No
Albury,54,1020.2,No
Albury,46,1020,No
Albury,45,1021.4,No
Albury,45,1021.6,No
Albury,81,1018.2,Yes
Albury,80,1015.8,Yes
Albury,63,1022,No
Albury,49,1028.8,No
Albury,59,1027.6,No
Albury,52,1024.7,No
Albury,54,1020,No
Albury,76,1019.8,No
Albury,55,1018.5,No
Albury,44,1018,No
Albury,43,1019.9,No
Albury,37,1021.4,No
Albury,42,1018.1,Yes
Albury,92,1014.8,Yes
Albury,84,1013.2,Yes
Albury,76,1009.5,Yes
Albury,76,1008.4,Yes
Albury,83,1006.9,Yes
Albury,50,1012.3,No
Albury,43,1019.5,No
Albury,65,1023.1,No
Albury,50,1024,Yes
Albury,73,1021.7,No
Albury,45,1016.2,Yes
Albury,91,1005.7,Yes
Albury,91,1010.2,No
Albury,49,1020.7,No
Albury,32,1030.4,No
Albury,46,1034.6,No
Albury,47,1036,No
Albury,56,1032.6,No
Albury,56,1026.7,No
Albury,48,1020.6,No
Albury,36,1023.2,No
Albury,42,1019.9,No
Albury,44,1018.7,No
Albury,59,1018.2,No
Albury,47,1022.1,No
Albury,56,1023.2,No
Albury,42,1023,No
Albury,31,1025.3,No
Albury,44,1023.6,No
Albury,68,1021.8,Yes
Albury,52,1020.2,Yes
Albury,71,1014.1,No
Albury,44,1020.2,No
Albury,38,1018.6,No
Albury,47,1010.6,No
Albury,42,1018.3,No
Albury,33,1020.4,No
Albury,50,1013.9,No
Albury,52,1011.8,No
Albury,36,1015.2,No
Albury,36,1007,No
Albury,70,1011.2,Yes
Albury,53,1020.3,No
Albury,36,1017.4,No
Albury,39,1018.1,No
Albury,39,1016.3,No
Albury,36,1020.5,No
Albury,37,1019.7,No
Albury,44,1014.4,No
Albury,93,1004.9,Yes
Albury,89,996.2,Yes
Albury,59,1003.7,Yes
Albury,80,1007.1,Yes
Albury,47,1018.1,No
Albury,40,1022.1,No
Albury,47,1021.9,No
Albury,59,1016.4,No
Albury,80,1012.6,Yes
Albury,53,1010.1,No
Albury,50,1009.5,No
Albury,57,1007.4,Yes
Albury,47,1012.7,No
Albury,31,1016.8,No
Albury,47,1017.9,No
Albury,54,1012.3,No
Albury,53,1007.5,No
Albury,34,1020.5,No
Albury,29,1030.9,No
Albury,35,1029.7,No
Albury,42,1026.1,No
Albury,34,1021.7,No
Albury,47,1022.7,No
Albury,48,1020.8,No
Albury,27,1015.4,No
Albury,49,1006.3,Yes
Albury,60,1012.5,No
Albury,46,1018.3,No
Albury,43,1017.9,No
Albury,56,1011.5,Yes
Albury,63,1009.9,No
Albury,54,1015.6,No
Albury,41,1019.6,No
Albury,39,1015.2,No
Albury,51,1011.1,No
Albury,29,1012.4,No
Albury,36,1015.5,No
Albury,36,1012.5,No
Albury,44,1006.4,Yes
Albury,47,1011,No
Albury,43,1009.6,No
Albury,51,1008.8,Yes
Albury,38,1015.5,No
Albury,30,1020.3,No
Albury,32,1016,No
Albury,32,1011.7,No
Albury,31,1008.3,No
Albury,29,1014.5,No
Albury,78,1016.6,No
Albury,52,1015.4,No
Albury,36,1013,No
Albury,62,1008.4,No
Albury,44,1013.6,No
Albury,36,1014.3,Yes
Albury,39,1009.8,No
Albury,30,1017.3,No
Albury,29,1013.3,No
Albury,22,1007.1,Yes
Albury,87,1013,Yes
Albury,32,1019.7,No
Albury,38,1018.7,No
Albury,34,1014.8,No
Albury,35,1014.8,No
Albury,35,1017,No
